x,x,x,x,x,x,x,x,x,xwins
x,x,x,x,x,x,x,x,o,xwins
x,x,x,x,x,x,x,x,b,xwins
x,x,x,x,x,x,x,o,x,xwins
x,x,x,x,x,x,x,o,o,xwins
x,x,x,x,x,x,x,o,b,xwins
x,x,x,x,x,x,x,b,x,xwins
x,x,x,x,x,x,x,b,o,xwins
x,x,x,x,x,x,x,b,b,xwins
x,x,x,x,x,x,o,x,x,xwins
x,x,x,x,x,x,o,x,o,xwins
x,x,x,x,x,x,o,x,b,xwins
x,x,x,x,x,x,o,o,x,xwins
x,x,x,x,x,x,o,o,o,xwins
x,x,x,x,x,x,o,o,b,xwins
x,x,x,x,x,x,o,b,x,xwins
x,x,x,x,x,x,o,b,o,xwins
x,x,x,x,x,x,o,b,b,xwins
x,x,x,x,x,x,b,x,x,xwins
x,x,x,x,x,x,b,x,o,xwins
x,x,x,x,x,x,b,x,b,xwins
x,x,x,x,x,x,b,o,x,xwins
x,x,x,x,x,x,b,o,o,xwins
x,x,x,x,x,x,b,o,b,xwins
x,x,x,x,x,x,b,b,x,xwins
x,x,x,x,x,x,b,b,o,xwins
x,x,x,x,x,x,b,b,b,xwins
x,x,x,x,x,o,x,x,x,xwins
x,x,x,x,x,o,x,x,o,xwins
x,x,x,x,x,o,x,x,b,xwins
x,x,x,x,x,o,x,o,x,xwins
x,x,x,x,x,o,x,o,o,xwins
x,x,x,x,x,o,x,o,b,xwins
x,x,x,x,x,o,x,b,x,xwins
x,x,x,x,x,o,x,b,o,xwins
x,x,x,x,x,o,x,b,b,xwins
x,x,x,x,x,o,o,x,x,xwins
x,x,x,x,x,o,o,x,o,xwins
x,x,x,x,x,o,o,x,b,xwins
x,x,x,x,x,o,o,o,x,xwins
x,x,x,x,x,o,o,o,o,xwins
x,x,x,x,x,o,o,o,b,xwins
x,x,x,x,x,o,o,b,x,xwins
x,x,x,x,x,o,o,b,o,xwins
x,x,x,x,x,o,o,b,b,xwins
x,x,x,x,x,o,b,x,x,xwins
x,x,x,x,x,o,b,x,o,xwins
x,x,x,x,x,o,b,x,b,xwins
x,x,x,x,x,o,b,o,x,xwins
x,x,x,x,x,o,b,o,o,xwins
x,x,x,x,x,o,b,o,b,xwins
x,x,x,x,x,o,b,b,x,xwins
x,x,x,x,x,o,b,b,o,xwins
x,x,x,x,x,o,b,b,b,xwins
x,x,x,x,x,b,x,x,x,xwins
x,x,x,x,x,b,x,x,o,xwins
x,x,x,x,x,b,x,x,b,xwins
x,x,x,x,x,b,x,o,x,xwins
x,x,x,x,x,b,x,o,o,xwins
x,x,x,x,x,b,x,o,b,xwins
x,x,x,x,x,b,x,b,x,xwins
x,x,x,x,x,b,x,b,o,xwins
x,x,x,x,x,b,x,b,b,xwins
x,x,x,x,x,b,o,x,x,xwins
x,x,x,x,x,b,o,x,o,xwins
x,x,x,x,x,b,o,x,b,xwins
x,x,x,x,x,b,o,o,x,xwins
x,x,x,x,x,b,o,o,o,xwins
x,x,x,x,x,b,o,o,b,xwins
x,x,x,x,x,b,o,b,x,xwins
x,x,x,x,x,b,o,b,o,xwins
x,x,x,x,x,b,o,b,b,xwins
x,x,x,x,x,b,b,x,x,xwins
x,x,x,x,x,b,b,x,o,xwins
x,x,x,x,x,b,b,x,b,xwins
x,x,x,x,x,b,b,o,x,xwins
x,x,x,x,x,b,b,o,o,xwins
x,x,x,x,x,b,b,o,b,xwins
x,x,x,x,x,b,b,b,x,xwins
x,x,x,x,x,b,b,b,o,xwins
x,x,x,x,x,b,b,b,b,xwins
x,x,x,x,o,x,x,x,x,xwins
x,x,x,x,o,x,x,x,o,xwins
x,x,x,x,o,x,x,x,b,xwins
x,x,x,x,o,x,x,o,x,xwins
x,x,x,x,o,x,x,o,o,xwins
x,x,x,x,o,x,x,o,b,xwins
x,x,x,x,o,x,x,b,x,xwins
x,x,x,x,o,x,x,b,o,xwins
x,x,x,x,o,x,x,b,b,xwins
x,x,x,x,o,x,o,x,x,xwins
x,x,x,x,o,x,o,x,o,xwins
x,x,x,x,o,x,o,x,b,xwins
x,x,x,x,o,x,o,o,x,xwins
x,x,x,x,o,x,o,o,o,xwins
x,x,x,x,o,x,o,o,b,xwins
x,x,x,x,o,x,o,b,x,xwins
x,x,x,x,o,x,o,b,o,xwins
x,x,x,x,o,x,o,b,b,xwins
x,x,x,x,o,x,b,x,x,xwins
x,x,x,x,o,x,b,x,o,xwins
x,x,x,x,o,x,b,x,b,xwins
x,x,x,x,o,x,b,o,x,xwins
x,x,x,x,o,x,b,o,o,xwins
x,x,x,x,o,x,b,o,b,xwins
x,x,x,x,o,x,b,b,x,xwins
x,x,x,x,o,x,b,b,o,xwins
x,x,x,x,o,x,b,b,b,xwins
x,x,x,x,o,o,x,x,x,xwins
x,x,x,x,o,o,x,x,o,xwins
x,x,x,x,o,o,x,x,b,xwins
x,x,x,x,o,o,x,o,x,xwins
x,x,x,x,o,o,x,o,o,xwins
x,x,x,x,o,o,x,o,b,xwins
x,x,x,x,o,o,x,b,x,xwins
x,x,x,x,o,o,x,b,o,xwins
x,x,x,x,o,o,x,b,b,xwins
x,x,x,x,o,o,o,x,x,xwins
x,x,x,x,o,o,o,x,o,xwins
x,x,x,x,o,o,o,x,b,xwins
x,x,x,x,o,o,o,o,x,xwins
x,x,x,x,o,o,o,o,o,xwins
x,x,x,x,o,o,o,o,b,xwins
x,x,x,x,o,o,o,b,x,xwins
x,x,x,x,o,o,o,b,o,xwins
x,x,x,x,o,o,o,b,b,xwins
x,x,x,x,o,o,b,x,x,xwins
x,x,x,x,o,o,b,x,o,xwins
x,x,x,x,o,o,b,x,b,xwins
x,x,x,x,o,o,b,o,x,xwins
x,x,x,x,o,o,b,o,o,xwins
x,x,x,x,o,o,b,o,b,xwins
x,x,x,x,o,o,b,b,x,xwins
x,x,x,x,o,o,b,b,o,xwins
x,x,x,x,o,o,b,b,b,xwins
x,x,x,x,o,b,x,x,x,xwins
x,x,x,x,o,b,x,x,o,xwins
x,x,x,x,o,b,x,x,b,xwins
x,x,x,x,o,b,x,o,x,xwins
x,x,x,x,o,b,x,o,o,xwins
x,x,x,x,o,b,x,o,b,xwins
x,x,x,x,o,b,x,b,x,xwins
x,x,x,x,o,b,x,b,o,xwins
x,x,x,x,o,b,x,b,b,xwins
x,x,x,x,o,b,o,x,x,xwins
x,x,x,x,o,b,o,x,o,xwins
x,x,x,x,o,b,o,x,b,xwins
x,x,x,x,o,b,o,o,x,xwins
x,x,x,x,o,b,o,o,o,xwins
x,x,x,x,o,b,o,o,b,xwins
x,x,x,x,o,b,o,b,x,xwins
x,x,x,x,o,b,o,b,o,xwins
x,x,x,x,o,b,o,b,b,xwins
x,x,x,x,o,b,b,x,x,xwins
x,x,x,x,o,b,b,x,o,xwins
x,x,x,x,o,b,b,x,b,xwins
x,x,x,x,o,b,b,o,x,xwins
x,x,x,x,o,b,b,o,o,xwins
x,x,x,x,o,b,b,o,b,xwins
x,x,x,x,o,b,b,b,x,xwins
x,x,x,x,o,b,b,b,o,xwins
x,x,x,x,o,b,b,b,b,xwins
x,x,x,x,b,x,x,x,x,xwins
x,x,x,x,b,x,x,x,o,xwins
x,x,x,x,b,x,x,x,b,xwins
x,x,x,x,b,x,x,o,x,xwins
x,x,x,x,b,x,x,o,o,xwins
x,x,x,x,b,x,x,o,b,xwins
x,x,x,x,b,x,x,b,x,xwins
x,x,x,x,b,x,x,b,o,xwins
